TOTAL_RH;TOTAL_SEM_VINCULO_PERMANENTE;DSC_AUTARQUIA;TOTAL_TECNICOS_SUPERIORES;REPRESENTANTES_ELEITOS;TOTAL_FUNCIONARIOS_NAO_SUPERIORES;TOTAL_COM_VINCULO_PERMANENTE;CODIGO_PERIODO;CARGOS_MANDATOS_POLITICOS;TOTAL_DIRIGENTES;TOTAL_POR_TIPOLOGIA;ldk;CODIGOINE;TOTAL_POR_VINCULO;TOTAL_COMISSAO_DE_SERVICO
357;0;ABRANTES;81;;268;349;T1;;8;357;T1_1401;1401;357;8
379;9;ÁGUEDA;62;;305;351;T1;;12;379;T1_0101;0101;379;19
97;0;AGUIAR DA BEIRA;13;;82;97;T1;;2;97;T1_0901;0901;97;0
177;4;ALANDROAL;30;;147;173;T1;;0;177;T1_0701;0701;177;0
227;16;ALBERGARIA-A-VELHA;38;;184;203;T1;;5;227;T1_0102;0102;227;8
1120;0;ALBUFEIRA;143;;958;1101;T1;;19;1120;T1_0801;0801;1120;19
396;1;ALCÁCER DO SAL;37;;354;395;T1;;5;396;T1_1501;1501;396;0
154;8;ALCANENA;23;;127;146;T1;;4;154;T1_1402;1402;154;0
317;0;ALCOBAÇA;56;;247;303;T1;;14;317;T1_1001;1001;317;14
344;5;ALCOCHETE;68;;271;334;T1;;5;344;T1_1502;1502;344;5
160;0;ALCOUTIM;18;;139;155;T1;;3;160;T1_0802;0802;160;5
554;0;ALENQUER;66;;480;543;T1;;8;554;T1_1101;1101;554;11
133;12;ALFÂNDEGA DA FÉ;23;;107;114;T1;;3;133;T1_0401;0401;133;7
138;0;ALIJÓ;24;;113;134;T1;;1;138;T1_1701;1701;138;4
168;0;ALJEZUR;21;;144;161;T1;;3;168;T1_0803;0803;168;7
178;21;ALJUSTREL;27;;147;150;T1;;4;178;T1_0201;0201;178;7
1549;72;ALMADA;214;;1273;1403;T1;;62;1549;T1_1503;1503;1549;74
158;2;ALMEIDA;32;;125;155;T1;;1;158;T1_0902;0902;158;1
238;0;ALMEIRIM;25;;213;234;T1;;0;238;T1_1403;1403;238;4
210;6;ALMODÔVAR;34;;173;201;T1;;3;210;T1_0202;0202;210;3
153;1;ALPIARÇA;14;;138;148;T1;;1;153;T1_1404;1404;153;4
142;6;ALTER DO CHÃO;20;;119;133;T1;;3;142;T1_1201;1201;142;3
86;0;ALVAIÁZERE;14;;72;83;T1;;0;86;T1_1002;1002;86;3
113;3;ALVITO;12;;98;107;T1;;3;113;T1_0203;0203;113;3
1564;130;AMADORA;200;;1331;1386;T1;;33;1564;T1_1115;1115;1564;48
513;1;AMARANTE;48;;455;502;T1;;10;513;T1_1301;1301;513;10
242;34;AMARES;58;;179;200;T1;;5;242;T1_0301;0301;242;8
225;16;ANADIA;28;;190;200;T1;;7;225;T1_0103;0103;225;9
239;2;ANGRA DO HEROÍSMO;33;;200;231;T1;;6;239;T1_4301;4301;239;6
102;3;ANSIÃO;14;;85;96;T1;;3;102;T1_1003;1003;102;3
304;0;ARCOS DE VALDEVEZ;29;;270;299;T1;;5;304;T1_1601;1601;304;5
185;4;ARGANIL;27;;158;180;T1;;0;185;T1_0601;0601;185;1
188;32;ARMAMAR;31;;155;152;T1;;2;188;T1_1801;1801;188;4
185;0;AROUCA;32;;149;181;T1;;4;185;T1_0104;0104;185;4
133;0;ARRAIOLOS;12;;118;129;T1;;3;133;T1_0702;0702;133;4
86;2;ARRONCHES;5;;80;82;T1;;1;86;T1_1202;1202;86;2
204;0;ARRUDA DOS VINHOS;22;;178;197;T1;;4;204;T1_1102;1102;204;7
551;0;AVEIRO;136;;402;547;T1;;13;551;T1_0105;0105;551;4
174;4;AVIS;36;;135;167;T1;;3;174;T1_1203;1203;174;3
306;3;AZAMBUJA;42;;260;294;T1;;4;306;T1_1103;1103;306;9
291;0;BAIÃO;38;;252;286;T1;;1;291;T1_1302;1302;291;5
595;15;BARCELOS;145;;429;559;T1;;21;595;T1_0302;0302;595;21
91;0;BARRANCOS;10;;77;86;T1;;4;91;T1_0204;0204;91;5
646;1;BARREIRO;117;;518;645;T1;;11;646;T1_1504;1504;646;0
79;7;BATALHA;19;;57;68;T1;;3;79;T1_1004;1004;79;4
