IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
70321.9;71871.63;80219.97;675191.48;194859.79;2697351;T1_1401;280692.96;T1;1401;ABRANTES;1680673.01;57445.2;5551328.25;417892.79
180002.21;97256.36;487498.18;848129.16;283519.1;1980895;T1_0101;154548.04;T1;0101;ÁGUEDA;786489.3;132803.45;4770559.97;667548.33
1766.07;14328.69;120731.05;30062.75;11514.46;1169672;T1_0901;2453.53;T1;0901;AGUIAR DA BEIRA;176495.97;0;1515900.5;18938.73
5523;3910.93;60365.42;61497.72;23750.94;1234376;T1_0701;25545.5;T1;0701;ALANDROAL;331320.41;2767.35;1907161.22;219601.67
67481.48;48368.64;0;621419.55;151204.75;1358982;T1_0102;130293.32;T1;0102;ALBERGARIA-A-VELHA;1556063.66;224071.36;3758277.41;221812.2
1422873.34;802070.75;11450.29;4768879.05;342044.74;1230462;T1_0801;2104585.12;T1;0801;ALBUFEIRA;5228802.33;97305.1;12493406.86;1253813.19
584349.91;84477.3;262551.69;1080426.97;62290.88;2216214;T1_1501;327084.79;T1;1501;ALCÁCER DO SAL;414994.18;22224.09;4093057.11;118870.27
113064.52;73633.98;9710.27;384164.68;81360.49;1134177;T1_1402;58286.22;T1;1402;ALCANENA;330339.41;57819.47;2194867.19;336475.83
326099.39;170569.37;256379.52;1361860.56;362740.05;2589267;T1_1001;433101.34;T1;1001;ALCOBAÇA;1023237.53;69350.41;5901569.82;670825.21
99311.7;199446.85;167004.17;600827.75;113098.19;612055;T1_1502;168190.12;T1;1502;ALCOCHETE;459094.5;20780.89;2209171.15;370189.73
6775.42;3615.84;27363.6;36278.21;11696.84;1401450;T1_0802;14190.11;T1;0802;ALCOUTIM;82637.21;0;1657379.69;109650.67
239202.64;223029.55;330979.13;968197.04;248387.42;1543293;T1_1101;257577.43;T1;1101;ALENQUER;527318.92;0;4586103.51;1216315.42
8470.63;64289.85;28593.37;99964.99;16433.21;1299918;T1_0401;10153.09;T1;0401;ALFÂNDEGA DA FÉ;145353.38;618.21;2133970.17;560140.43
20123.36;29325.29;16820.72;182254.77;48439.56;1449513;T1_1701;61743.12;T1;1701;ALIJÓ;395864.7;22623.44;4781239.72;2736786.53
53105.81;35539.17;9513.62;419460.65;36861.05;1039374;T1_0803;293954.62;T1;0803;ALJEZUR;331787.48;0;1853639.31;53503.56
18200.5;38738.55;203636.72;129047.82;47539.07;1328583;T1_0201;22155.12;T1;0201;ALJUSTREL;343941.44;2414.58;2286172.72;280963.74
1110383.29;644387.27;573957.93;4415028.18;955846.27;3932235;T1_1503;1307503.8;T1;1503;ALMADA;1610269.39;396907.55;12354971.22;1823480.72
8657.53;119479.06;296550.62;164795.92;32129.08;1712190;T1_0902;4530.25;T1;0902;ALMEIDA;436818.62;0;2707281.18;96926.02
98711.81;52194.76;114874.81;298761.16;121588.25;1298712;T1_1403;0;T1;1403;ALMEIRIM;447889.65;26266.34;2604689.55;444451.93
7707.67;55798.2;7390.68;164227.2;38104.23;1911561;T1_0202;60587.09;T1;0202;ALMODÔVAR;189013.41;2030.01;2539303.49;267111.2
28607.34;28380.41;0;119359.77;27937.42;747570;T1_1404;23833.45;T1;1404;ALPIARÇA;170677.57;10601.15;1249138.36;211531.02
10224.54;7140.98;128830.23;63936.37;15578.07;955755;T1_1201;30748.43;T1;1201;ALTER DO CHÃO;176906.3;244.35;1534933.72;209505.82
18473.49;18073.48;220463.72;85494.45;38854.32;1026258;T1_1002;10093.16;T1;1002;ALVAIÁZERE;523180.64;0;1931698.04;76301.23
5051.48;7172.41;1982.74;73251.98;11198.8;744015;T1_0203;49829.29;T1;0203;ALVITO;127660.1;0;1081338.71;134428.89
514514.37;412004.01;16009.39;3186325.18;857354.56;6370333;T1_1115;1402452.24;T1;1115;AMADORA;2881095.19;0;15752520.14;3298757.38
168758.57;251507.38;2062797.7;836818.67;282332.19;3345900;T1_1301;134220.53;T1;1301;AMARANTE;1218164.14;0;8033387.94;569707.43
