DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1057677.16;0;NISA;0;189986.21;T2_1212;4324626.68;20376.64;2026066.6;T2;255939.6;3340619.84;1212;290739.07;236499.44;247341.96;693267.77
401063.6;0;NORDESTE;0;0;T2_4202;2216121.48;301616.59;711640.32;T2;5192.93;1670455.33;4202;445600.81;256134.82;94872.41;100065.34
2029970.72;289385.55;ÓBIDOS;73115.96;186662.26;T2_1012;6554200.88;73763.34;2502726.93;T2;866.9;5087849.44;1012;817237.73;481388.45;99083.04;649113.71
3372106.73;8890;ODEMIRA;308805.19;629669.47;T2_0211;12383679.9;37550.29;4240473.76;T2;95615.65;9422777.82;0211;1303771.15;1772647.04;614150.62;1657130.93
11658291.69;161345;ODIVELAS;130522.15;573380.21;T2_1116;32142183.05;301729.6;12315761.66;T2;520757.91;26703766.54;1116;3905081.72;2427983.59;147329.52;1533334.79
13848668.69;327466.12;OEIRAS;1315490.43;1250708.86;T2_1110;47411925.57;1011015.72;16836730.17;T2;5054533.19;36147735.32;1110;2307955.86;4451320.74;1008035.79;8956234.39
1481958.51;54294.88;OLEIROS;31232.67;1173037.49;T2_0506;4857169.4;16559.79;1109408.44;T2;8936.59;3149397.37;0506;303254.51;541470.63;137015.89;1404517.52
2103969.56;4047.08;OLHÃO;7178.58;6374.58;T2_0810;9335558.15;159843.24;4255761.69;T2;0;8029973.34;0810;1145661.91;1510398.85;142322.66;159922.9
4597485.81;412268.27;OLIVEIRA DE AZEMÉIS;391849.38;1348489.66;T2_0113;17344233.46;149201.18;4924843.47;T2;756920.31;10947808.46;0113;2748792.49;1276278;738104.89;3647632.51
1189035.3;4368.1;OLIVEIRA DE FRADES;301771.91;572286.56;T2_1810;5929336.44;22451.03;1401495.64;T2;1759453.8;2808125.39;1810;314585.63;195143.42;168745.05;2806625.42
2036513.65;10000;OLIVEIRA DO BAIRRO;13497.95;551482.86;T2_0114;9047839.04;60154.05;2227790.29;T2;2783629.68;4841623.32;0114;697332.94;517165.33;150272.29;3508882.78
2880424.14;21526.5;OLIVEIRA DO HOSPITAL;176162.23;165557.3;T2_0611;7160037.56;22028.98;1854803.12;T2;88112.93;5810072.74;0611;644615.04;1052816.5;253990.82;705349.78
4548297.66;181583.97;OURÉM;19107.89;78962.81;T2_1421;12740024.74;166791.06;3432381.37;T2;755331.86;9081155.27;1421;2023248.4;933685.18;600634.54;1635621.07
1034078.77;14855.63;OURIQUE;211350.4;91025.35;T2_0212;4935643.39;39134.41;1967405.52;T2;36174.63;3475544.18;0212;950977.59;434925.48;155715.61;509121.62
4077887.56;635506.95;OVAR;4018;1276903.87;T2_0115;12462977.37;80255.32;3576620.03;T2;221247.2;9470940.63;0115;522274.19;1736177.72;332086.53;2469762.55
4185400.55;39614.37;PAÇOS DE FERREIRA;1799.21;213115.23;T2_1309;13106904.1;395287.16;3850321.22;T2;2578988.31;9310292.6;1309;868189.23;879283.67;94905.15;2928422.27
7579707.77;0;PALMELA;46264.52;336452.13;T2_1508;19392282.56;150614.1;8988730.39;T2;319154.97;17866106.31;1508;530600.03;1147054.05;293704.6;995576.22
1646374.46;96000;PAMPILHOSA DA SERRA;66472.31;387430.56;T2_0612;4887563.67;233.34;1230661.24;T2;83847.74;3679518.5;0612;129119.33;802249.46;445175.23;1078925.84
7026823.43;22961.95;PAREDES;239595.34;1345981.73;T2_1310;23670071.85;400750.92;7055413.3;T2;859570.95;16831918.05;1310;4132188.82;2348930.4;237855.01;2705964.98
1136167.88;0;PAREDES DE COURA;84975.53;449479.48;T2_1605;5349712.82;201160.63;1502337.59;T2;975159.73;3073422.59;1605;553991.83;233756.49;212683.66;1722298.4
845654.66;6210;PEDRÓGÃO GRANDE;0;36172.85;T2_1013;2164326.65;9889.67;741245.34;T2;850.31;1915772.3;1013;177718.5;318982.63;27602.69;70835.85
1714225.55;0;PENACOVA;55607.31;669720.45;T2_0613;5020411.3;18505.61;1235904.67;T2;205280.21;3586498.19;0613;293408.4;617862.36;209896.74;1140504.71
3218739.71;235430;PENAFIEL;735920.05;1399411.97;T2_1311;17811019.02;101725.92;5745260.52;T2;3159249.09;10460417.51;1311;1172349.6;1394691.36;648240.8;6178251.91
919039.06;7910.39;PENALVA DO CASTELO;22399.72;324570.93;T2_1811;3372043.04;5168.95;1015910.91;T2;78851.65;2417415.08;1811;352113.05;477296.16;168782.22;602514.91
2018185.38;8000;PENAMACOR;325658.07;30643.14;T2_0507;4703822.11;29798.99;982349.75;T2;274524.06;3383714.77;0507;255176.57;353380.65;426105.5;1064930.77
675360.08;21397.17;PENEDONO;68121.26;106773.99;T2_1812;3027471.26;0;773320.3;T2;1012566.59;1682791.63;1812;69757.33;234111.25;66063.29;1274922.3
903828.99;2746.18;PENELA;34311.05;133003.42;T2_0614;3308395.01;36779.69;987219.7;T2;451227.5;2226130.03;0614;341695.03;298301.65;119281.8;740569.95
1985793.76;39775.02;PENICHE;0;49881.28;T2_1014;7665608.97;51760.63;3150920.17;T2;653867.27;5971066.33;1014;627355.51;782591.77;323663.56;1067187.13
1660597.23;11583.95;PESO DA RÉGUA;24829.8;369304.89;T2_1708;8032687.03;175610.91;2253245.02;T2;1723946.56;4438042.59;1708;753712.63;348589.43;711266.61;2840931.81
