TOTAL_RH;TOTAL_SEM_VINCULO_PERMANENTE;DSC_AUTARQUIA;TOTAL_TECNICOS_SUPERIORES;REPRESENTANTES_ELEITOS;TOTAL_FUNCIONARIOS_NAO_SUPERIORES;TOTAL_COM_VINCULO_PERMANENTE;CODIGO_PERIODO;CARGOS_MANDATOS_POLITICOS;TOTAL_DIRIGENTES;TOTAL_POR_TIPOLOGIA;ldk;CODIGOINE;TOTAL_POR_VINCULO;TOTAL_COMISSAO_DE_SERVICO
404;36;ABRANTES;69;12;323;356;T1;;;404;T1_1401;1401;404;12
430;49;ÁGUEDA;55;14;361;361;T1;;;430;T1_0101;0101;430;20
105;6;AGUIAR DA BEIRA;12;3;90;96;T1;;;105;T1_0901;0901;105;3
205;12;ALANDROAL;31;0;174;193;T1;;;205;T1_0701;0701;205;0
311;81;ALBERGARIA-A-VELHA;86;5;220;223;T1;;;311;T1_0102;0102;311;7
1359;51;ALBUFEIRA;202;33;1124;1275;T1;;;1359;T1_0801;0801;1359;33
356;32;ALCÁCER DO SAL;49;2;305;324;T1;;;356;T1_1501;1501;356;0
180;43;ALCANENA;35;0;145;137;T1;;;180;T1_1402;1402;180;0
356;42;ALCOBAÇA;69;9;278;305;T1;;;356;T1_1001;1001;356;9
414;23;ALCOCHETE;73;10;331;381;T1;;;414;T1_1502;1502;414;10
177;9;ALCOUTIM;20;2;155;160;T1;;;177;T1_0802;0802;177;8
645;49;ALENQUER;108;3;534;590;T1;;;645;T1_1101;1101;645;6
154;25;ALFÂNDEGA DA FÉ;25;6;123;118;T1;;;154;T1_0401;0401;154;11
193;22;ALIJÓ;39;7;147;169;T1;;;193;T1_1701;1701;193;2
195;23;ALJEZUR;26;3;166;169;T1;;;195;T1_0803;0803;195;3
176;41;ALJUSTREL;37;2;137;130;T1;;;176;T1_0201;0201;176;5
1476;83;ALMADA;187;59;1230;1330;T1;;;1476;T1_1503;1503;1476;63
143;19;ALMEIDA;32;2;109;122;T1;;;143;T1_0902;0902;143;2
309;45;ALMEIRIM;28;0;281;258;T1;;;309;T1_1403;1403;309;6
229;12;ALMODÔVAR;35;3;191;214;T1;;;229;T1_0202;0202;229;3
187;27;ALPIARÇA;16;1;170;156;T1;;;187;T1_1404;1404;187;4
153;14;ALTER DO CHÃO;20;3;130;136;T1;;;153;T1_1201;1201;153;3
109;7;ALVAIÁZERE;17;2;90;99;T1;;;109;T1_1002;1002;109;3
123;17;ALVITO;17;6;100;100;T1;;;123;T1_0203;0203;123;6
1642;143;AMADORA;208;29;1405;1455;T1;;;1642;T1_1115;1115;1642;44
647;117;AMARANTE;129;16;502;530;T1;;;647;T1_1301;1301;647;0
261;47;AMARES;55;6;200;206;T1;;;261;T1_0301;0301;261;8
200;45;ANADIA;28;6;166;149;T1;;;200;T1_0103;0103;200;6
217;11;ANGRA DO HEROÍSMO;19;8;190;201;T1;;;217;T1_4301;4301;217;5
131;16;ANSIÃO;17;2;112;114;T1;;;131;T1_1003;1003;131;1
321;38;ARCOS DE VALDEVEZ;28;4;289;279;T1;;;321;T1_1601;1601;321;4
229;30;ARGANIL;28;0;201;197;T1;;;229;T1_0601;0601;229;2
200;31;ARMAMAR;31;3;166;166;T1;;;200;T1_1801;1801;200;3
192;10;AROUCA;24;5;163;177;T1;;;192;T1_0104;0104;192;5
159;2;ARRAIOLOS;13;2;144;153;T1;;;159;T1_0702;0702;159;4
103;20;ARRONCHES;10;1;92;83;T1;;;103;T1_1202;1202;103;0
240;41;ARRUDA DOS VINHOS;35;5;200;192;T1;;;240;T1_1102;1102;240;7
545;18;AVEIRO;108;37;400;525;T1;;;545;T1_0105;0105;545;2
205;16;AVIS;41;4;160;185;T1;;;205;T1_1203;1203;205;4
354;14;AZAMBUJA;48;12;294;321;T1;;;354;T1_1103;1103;354;19
336;35;BAIÃO;68;1;267;296;T1;;;336;T1_1302;1302;336;5
697;134;BARCELOS;145;19;533;544;T1;;;697;T1_0302;0302;697;19
103;17;BARRANCOS;13;3;87;81;T1;;;103;T1_0204;0204;103;5
859;67;BARREIRO;162;32;665;760;T1;;;859;T1_1504;1504;859;32
101;15;BATALHA;24;5;72;80;T1;;;101;T1_1004;1004;101;6
527;25;BEJA;49;4;474;492;T1;;;527;T1_0205;0205;527;10
62;13;BELMONTE;14;2;46;45;T1;;;62;T1_0501;0501;62;4
385;18;BENAVENTE;53;4;328;359;T1;;;385;T1_1405;1405;385;8
221;67;BOMBARRAL;29;4;188;149;T1;;;221;T1_1005;1005;221;5
229;66;BORBA;25;1;203;162;T1;;;229;T1_0703;0703;229;1
138;21;BOTICAS;30;6;102;110;T1;;;138;T1_1702;1702;138;7
1777;220;BRAGA;304;29;1444;1512;T1;;;1777;T1_0303;0303;1777;45
372;11;BRAGANÇA;37;11;324;350;T1;;;372;T1_0402;0402;372;11
300;2;CABECEIRAS DE BASTO;19;6;275;289;T1;;;300;T1_0304;0304;300;9
215;37;CADAVAL;26;5;184;169;T1;;;215;T1_1104;1104;215;9
326;23;CALDAS DA RAINHA;25;2;299;297;T1;;;326;T1_1006;1006;326;6
