IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
90037.97;56012.26;287763.93;584345.66;189338.88;2836143;T1_1401;248956.55;T1;1401;ABRANTES;1750102.53;0;5748876.59;290521.47
130949.04;110625.62;795517.19;845311.7;286300.62;2192883;T1_0101;292555.33;T1;0101;ÁGUEDA;431268.13;24881.09;5017006.98;752026.96
5868.77;13316.5;33438.95;66533.11;30212.31;1264257;T1_0901;17135.53;T1;0901;AGUIAR DA BEIRA;231932.64;0;1637282.24;41120.54
0;3471.62;75242.61;88791.65;23694.22;1391516.16;T1_0701;57816.72;T1;0701;ALANDROAL;244398.87;3809.09;1999045.61;199096.32
41608.24;40294.64;198706.25;441143.45;147424.72;1396814.69;T1_0102;201120.02;T1;0102;ALBERGARIA-A-VELHA;327393.81;10695.83;2590253.21;226195.01
1325520.37;461927.72;31358.81;11140573.94;349943.73;1297082;T1_0801;8981621.64;T1;0801;ALBUFEIRA;3947901.27;21560.48;17086621.48;669705.46
29524.89;69193.41;0;503895.41;61732.54;2334372;T1_1501;342704.72;T1;1501;ALCÁCER DO SAL;532316.12;739.85;3480826.72;110243.19
47911.16;83993.44;40273.32;273753.2;73861.35;1198318.17;T1_1402;57275.29;T1;1402;ALCANENA;339706.87;10711.96;2039330.48;187278.92
213593.17;177779.17;109641.13;1249694.82;365802.86;2734356;T1_1001;471411.08;T1;1001;ALCOBAÇA;1005360.41;21108.54;5338253.52;239201.16
87572.1;390927.47;0;867266.07;97821.21;555109;T1_1502;260669.75;T1;1502;ALCOCHETE;535642.26;30275.54;2063298.06;105280.73
0;4497.13;64880.48;32862.76;11001.32;1466403;T1_0802;17364.31;T1;0802;ALCOUTIM;67127.23;0;2046282.28;415008.81
139498.56;206059.91;0;784291.06;224335.21;1643262;T1_1101;214397.38;T1;1101;ALENQUER;897786.07;0;4915160.9;1589821.77
9734.56;92435.92;141622.36;121190.28;13911.37;1361022;T1_0401;5108.43;T1;0401;ALFÂNDEGA DA FÉ;118138.19;0;13171096.74;11429123.91
14772.32;19272.24;210309.52;134639.05;55076.71;1681899;T1_1701;45517.78;T1;1701;ALIJÓ;348456.08;0;2504361.05;129057.4
57682.7;32431.5;100483.36;585089.81;31969.68;1095438;T1_0803;463005.93;T1;0803;ALJEZUR;379580.94;0;2204282.62;43690.51
14589.57;25629.67;272618.16;124566.06;46077.66;1401063;T1_0201;38269.16;T1;0201;ALJUSTREL;255931.9;0;2150910.01;96730.89
779237.66;942283.02;53573.01;3975309.26;873208.88;4142685;T1_1503;1380579.7;T1;1503;ALMADA;1771913.59;0;10490624.39;547143.53
2180.87;117621.06;2890;168307.5;34692.54;1815084;T1_0902;13813.03;T1;0902;ALMEIDA;335921.77;0;2362963.7;40760.43
49204.55;71832.22;12104.23;314225.56;110923.35;1371207;T1_1403;48179.25;T1;1403;ALMEIRIM;508929.71;34086.19;2588229.92;381763.42
8696.74;52143.48;108564.14;113384.96;37620.45;2014140;T1_0202;14073.55;T1;0202;ALMODÔVAR;234591.51;850.74;2654269.62;183589.01
8454.87;23143.8;0;111814;38041.14;786600;T1_1404;41536.12;T1;1404;ALPIARÇA;120788.86;638.07;1391998.07;372795.21
3119.79;9998.24;223236.77;26476.12;13358.09;1002114;T1_1201;0;T1;1201;ALTER DO CHÃO;215889.47;0;1577226.16;109509.8
46537.23;23959.17;585667.57;123583.09;35959.49;1117083;T1_1002;17127.2;T1;1002;ALVAIÁZERE;505889.44;0;2411982.49;79759.39
5967.27;4566.23;0;26508.05;8408.97;783894;T1_0203;7565.58;T1;0203;ALVITO;94656.39;0;986603.66;81545.22
2268953.39;650468.88;131446.47;4603352.96;756370.78;4876912;T1_1115;760318.33;T1;1115;AMADORA;2659977.77;167241.58;15329485.41;3057796.21
76745.98;321871;45533.6;826283.04;258473.14;3597342;T1_1301;169192.92;T1;1301;AMARANTE;1472290.31;0;6751750.06;810301.11
23234.74;43347.2;61292.05;272963.19;105338.39;1376934;T1_0301;101042.86;T1;0301;AMARES;277190.02;0;2312366.69;323987.43
41923.04;25166.29;0;396598.16;172978.04;2068236;T1_0103;153330.22;T1;0103;ANADIA;964926.87;3200.57;3545615.15;115854.12
24419.61;103861.09;1387513.04;295531.68;135054.6;2446168.09;T1_4301;32196.38;T1;4301;ANGRA DO HEROÍSMO;162374.48;0;4659871.52;368284.23
29178.58;107998.05;35282.52;306273.98;63624.75;1264758;T1_1003;103528.45;T1;1003;ANSIÃO;407124.26;1944.15;2080241.61;66802.85
25980.22;72210.07;907890.49;277508.68;114701.3;2676417;T1_1601;64617.09;T1;1601;ARCOS DE VALDEVEZ;923063.07;0;5409867.79;624988.55
33253.74;105129.4;83344.02;262394.09;54650.98;1494168;T1_0601;69359.97;T1;0601;ARGANIL;528471.26;0;2486363.29;117985.92
0;56259.07;70301.07;126792.38;28919.96;1250549.65;T1_1801;41403.5;T1;1801;ARMAMAR;206713.72;209.85;2268943.19;614586.37
33394.61;37414.97;682159.18;253185.36;103430.26;2104950;T1_0104;77579.45;T1;0104;AROUCA;600491.53;1366.07;3905977.73;265191.66
14026.93;10408.49;39516.55;60615.87;30043.74;1536651;T1_0702;5093.37;T1;0702;ARRAIOLOS;229891.06;1043.34;1940872.85;74198.37
1784.77;4575.27;141323.38;29494.99;13027.13;952839;T1_1202;10107.82;T1;1202;ARRONCHES;73879.69;0;1282741.39;85204.33
33476.32;34208.81;0;209150.06;80547.71;862563;T1_1102;59984.87;T1;1102;ARRUDA DOS VINHOS;677092.36;932.35;1919637.19;170831.77
285591.54;1009896.57;359380.8;2798710.66;500090.58;2263548;T1_0105;953304.26;T1;0105;AVEIRO;2476084.31;49827.71;10738675.3;2840951.53
0;4838.98;170999.87;47531.72;21669.91;1329465;T1_1203;21022.83;T1;1203;AVIS;159353.38;0;1772560.69;65210.72
63752.79;110608.64;0;734467.01;435369.72;1205476;T1_1103;124735.86;T1;1103;AZAMBUJA;406009.26;0;2683221.84;337269.57
9435.06;116149.38;100394.1;275565.88;78302.97;1915362;T1_1302;71678.47;T1;1302;BAIÃO;380721.11;0;3097220.7;425177.61
189866.66;455427.33;16552.81;1931363.8;637885.84;6056046;T1_0302;600968.36;T1;0302;BARCELOS;1021660.1;47215.61;9786906.86;761284.15
1439.07;3693.37;0;12885.81;6185.46;782970;T1_0204;1567.91;T1;0204;BARRANCOS;34630.91;0;885066.08;54579.36
208452.15;1307321.85;188724.32;2228037.08;374377.28;2404835;T1_1504;314352.08;T1;1504;BARREIRO;2187495.64;23533.72;7281788.81;272696.77
38278.27;180603.16;0;396279.07;111278.4;989685;T1_1004;58679.34;T1;1004;BATALHA;477232.15;7439.9;1968821.87;105625.65
93542.39;70789.72;138723.76;460522.01;184719.1;2649366;T1_0205;99800.83;T1;0205;BEJA;974575.98;11669.97;4410308.5;187120.75
0;11373.25;0;54677.92;29983.49;956757;T1_0501;13321.18;T1;0501;BELMONTE;73572.26;0;1652564.64;567557.46
161499.07;46637.16;0;593197.56;162263.92;1088019;T1_1405;216024.91;T1;1405;BENAVENTE;561997.33;6772.5;2631675.46;388461.57
39896.39;82066.76;0;253150.96;70976.03;896337;T1_1005;58566.19;T1;1005;BOMBARRAL;521860.38;1645.59;1754997.36;83649.02
10942.89;32107.74;6295.27;123189.89;31909.92;899751;T1_0703;45136.22;T1;0703;BORBA;234671.71;3093.12;1628078.89;364171.02
5326.2;48747.3;62738.35;80002.71;18485.26;1375449;T1_1702;7443.95;T1;1702;BOTICAS;214483.73;0;1892369.22;159695.43
481273.72;717729.98;469330.33;3783648.71;1091186.91;5371922.15;T1_0303;1413396.82;T1;0303;BRAGA;433521.99;80061.28;17434516.59;7376093.41
85415.44;485627.5;178400.16;886237.72;186769.93;3476388;T1_0402;128424.85;T1;0402;BRAGANÇA;1670915.79;0;6402592.9;190651.23
17199.32;149015.65;132006.89;292139.53;83865.7;1692669;T1_0304;35949.45;T1;0304;CABECEIRAS DE BASTO;284054.54;6109.41;2837918.55;437048.59
31290.68;37360.03;79232.47;187267.62;72434.31;1170885;T1_1104;46182.6;T1;1104;CADAVAL;496765.58;0;2157350.59;223199.92
188319.48;163333.69;592691.74;1050931.75;299963.9;1694958;T1_1006;373981.47;T1;1006;CALDAS DA RAINHA;620263.4;25333.21;4298184.03;339339.14
21175.57;18403.88;122322.95;220864.17;59637.38;1559628;T1_3101;121647.34;T1;3101;CALHETA (MADEIRA);284949.52;0;2208915.42;21150.78
8782.31;4078.43;231867.58;39390.67;22223.89;840366;T1_4501;4294.9;T1;4501;CALHETA (SÃO JORGE);89469.79;11.14;1223012.64;21918.6
64545.56;57770.67;45886.37;288998.44;124777.37;1857234;T1_3102;41904.84;T1;3102;CÂMARA DE LOBOS;126071.28;0;2362683.87;44493.78
89910.99;126900.02;183422.31;523243.32;106605.33;1458570;T1_1602;199826.98;T1;1602;CAMINHA;811116.2;0;3341103.22;364751.39
4310.81;102445.45;134369.7;239662.47;46174.12;1077372;T1_1204;85483.07;T1;1204;CAMPO MAIOR;262874.18;1249.02;1869262.11;154983.76
83894.99;87870.82;126312.22;628502.43;189263.83;2279748;T1_0602;259648.34;T1;0602;CANTANHEDE;453731.54;7824.45;3636178.03;147883.84
7376.43;12652.8;12213.88;61271.92;24191.96;1454826;T1_0403;17050.73;T1;0403;CARRAZEDA DE ANSIÃES;22108;0;1666341.1;115921.3
9602.77;85168.74;41112.75;170318.12;47922.98;987222;T1_1802;27623.63;T1;1802;CARREGAL DO SAL;49057.46;0;1360257.79;112547.46
68455.2;58442.65;-746.31;407381.45;125041.9;1072371;T1_1406;150601.09;T1;1406;CARTAXO;311629.91;4840.61;6439639.98;4649003.93
1745966.83;2259775.45;293837.57;16012908.26;1525688.54;3424176;T1_1105;10389723.73;T1;1105;CASCAIS;2341609.31;91753.71;23287468.84;1214937.7
10614.8;47662.83;4748.31;73140.54;13045.53;748077;T1_1007;1817.38;T1;1007;CASTANHEIRA DE PÊRA;129837.19;0;992069.73;36266.69
127437.3;142293.36;110218.97;911325.12;288565.23;4044384;T1_0502;353029.23;T1;0502;CASTELO BRANCO;594479.89;0;6229950.5;569542.52
10633.54;37417.83;0;190833.91;71215.19;1394460;T1_0106;71567.35;T1;0106;CASTELO DE PAIVA;193224.76;0;1940735.64;162216.97
7246.62;9583.97;0;30812.31;10794.27;951741.7;T1_1205;1606.86;T1;1205;CASTELO DE VIDE;106246.24;1580.59;1114471.25;25671
31753.66;37557.9;0;164112.15;70776.38;2008326;T1_1803;24024.21;T1;1803;CASTRO DAIRE;386938.58;0;3044993.7;485616.97
55918.72;48907.01;264439.93;327442.12;38316.85;806246.48;T1_0804;184299.54;T1;0804;CASTRO MARIM;598772.64;0;2014786.96;17885.79
5192.57;41454.25;348605.18;86029.32;37616.48;1391172;T1_0206;0;T1;0206;CASTRO VERDE;306635.07;1766.02;2205046.61;72605.04
9788.76;124193.62;108745.81;218142.21;36939.43;1361644.82;T1_0903;46492.06;T1;0903;CELORICO DA BEIRA;98764.97;728.34;2113363.34;326065.53
49088;70501.55;538461.44;315665.55;81633.92;1871844;T1_0305;114442.08;T1;0305;CELORICO DE BASTO;473792.48;0;3388717.27;188953.8
14827.63;9762.37;0;123140.47;42267.58;1728537;T1_1407;45487.05;T1;1407;CHAMUSCA;179218.08;10795.84;2237464.08;206568.53
60763.98;92344.28;1007911.9;629409.29;227945.66;3143930;T1_1703;248355.37;T1;1703;CHAVES;1627419.5;0;7116265.46;707594.77
13872.79;68043.45;67734.17;219570.08;80533.3;1982445;T1_1804;57120.54;T1;1804;CINFÃES;77411.81;0;3384228.31;1037067.25
505724.76;572453.1;68197.91;3979763.59;885859.73;4249863;T1_0603;1829005.2;T1;0603;COIMBRA;930769.05;186720.8;10354509.95;1125916.4
19223.71;23063.65;301181.36;291646.25;82110.2;1037904;T1_0604;167248.69;T1;0604;CONDEIXA-A-NOVA;869122.64;0;2609335.59;109481.34
3354.98;5607.6;19170.12;42553.82;20384.74;760792;T1_1408;13206.5;T1;1408;CONSTÂNCIA;153081.59;0;1092294.24;116696.71
29181.68;68913.69;408725.57;383304.84;83823.91;2508987;T1_1409;185210.91;T1;1409;CORUCHE;677033.01;16174.65;4292275.48;314225.06
