IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
94877.12;97657.82;1258502.94;514385.05;156780.39;2772438;T1_1401;165069.72;T1;1401;ABRANTES;1274811.22;0;6253442.89;433305.68
125843.88;285912.09;609025.84;1159616.15;170538.9;2351181;T1_0101;549135.2;T1;0101;ÁGUEDA;613280.92;28186.08;5375684.7;642580.79
3033.53;15078.12;211988.54;29547.52;5218.39;1238703;T1_0901;6217.48;T1;0901;AGUIAR DA BEIRA;151208.17;0;2202370.41;570923.18
8798.88;4330.38;265492.64;70134.22;17450.23;1357305;T1_0701;36607.52;T1;0701;ALANDROAL;210936.97;2947.21;2080767.68;176898.85
53677.54;72025.89;922650.71;357475.75;113476.11;1427562;T1_0102;108887.64;T1;0102;ALBERGARIA-A-VELHA;396913.32;9408.57;3251011.02;146409.24
818432.09;497249.92;-1237.17;3312170.17;270398.44;1081557;T1_0801;1726089.72;T1;0801;ALBUFEIRA;4595408.56;0;9753379.66;765481.1
19797.09;107487.67;44677.88;479973.97;51434.51;2278710;T1_1501;268014.77;T1;1501;ALCÁCER DO SAL;468580.53;33239.93;3390652.04;118709.66
31572.25;45928.18;230544.96;309884.15;62419.94;1166271;T1_1402;105144.78;T1;1402;ALCANENA;260464.68;64819;2157531.33;190366.54
176169.12;260073.82;321484.45;1367983.76;292925.4;2681910;T1_1001;607998.2;T1;1001;ALCOBAÇA;319767.28;30817.22;5530826.81;839681.32
84422.73;143313.46;417801.7;763063.06;85225.46;677061.6;T1_1502;239002.72;T1;1502;ALCOCHETE;453816.19;211098.69;2553931.24;242188.69
3120.93;6606.01;550108.07;27115.09;9515.47;1440243;T1_0802;7872.68;T1;0802;ALCOUTIM;106747.19;0;2268521.51;144308.16
168705.34;131265.86;618707.16;807583.83;188480.57;1631264.19;T1_1101;300933.72;T1;1101;ALENQUER;292927.12;18198.34;4380658.02;1030175.72
3498.73;37642.58;157475.91;98921.57;15170.93;1330560.55;T1_0401;40125.56;T1;0401;ALFÂNDEGA DA FÉ;113041.07;2483.77;1966136.25;266137.15
0;43387.86;242765.3;148865.56;42407.88;1412841;T1_1701;55209.92;T1;1701;ALIJÓ;350724.88;7859.9;2236144.16;80947.42
48677.81;30981.57;185290.72;259648.61;26909.35;1096965;T1_0803;153079.88;T1;0803;ALJEZUR;365152.85;0;2068361.39;161304.21
8790.95;45549.6;374017.87;132348.64;37187.86;1366251;T1_0201;38287.6;T1;0201;ALJUSTREL;344542.37;2532.63;2313717.22;96557.34
657291.37;602259.11;1052009.31;3794218.84;755277.55;4019039;T1_1503;1750949.75;T1;1503;ALMADA;2337801.41;28441.06;11603157.66;400089.1
8373.43;116272.74;138141.14;165200.28;26925.61;1760181;T1_0902;13628.5;T1;0902;ALMEIDA;241282.82;0;2386806.85;82001.61
49863.78;46285.16;82001.46;273231.14;91781.02;1306710;T1_1403;65911.54;T1;1403;ALMEIRIM;395537.12;19389.64;3329593.5;1272113.78
3383.24;58126.55;535221.53;103634.57;30911.81;1965771;T1_0202;11212.97;T1;0202;ALMODÔVAR;126577.16;0;2891870.7;160666.44
43579.07;34294.78;23053.58;158348.32;29131.38;768741;T1_1404;44599.29;T1;1404;ALPIARÇA;213388.99;6743.8;1367108.57;203576.68
3779.54;7259.47;283577.37;51245.49;7927.46;985688;T1_1201;31732.94;T1;1201;ALTER DO CHÃO;164900.97;546.08;1592951.15;107539.32
7495.32;19121.24;783092.25;77013.22;31736.21;1086354;T1_1002;18660.45;T1;1002;ALVAIÁZERE;250051.77;0;2289838.05;93326.81
2771.96;5283.38;37904.14;37753.02;8059.3;765126;T1_0203;21638.38;T1;0203;ALVITO;93372.18;0;1027449.48;93294.14
312907.16;491649.11;842770.68;3791183.77;525763.91;3532405;T1_1115;1921659.97;T1;1115;AMADORA;1890039.42;539203.62;12245605.14;2189206.27
55493.97;288267.3;1292210.85;782667.62;227155.59;3440460;T1_1301;211750.76;T1;1301;AMARANTE;1570960.45;0;7670854.97;584556.05
16517.98;68513.55;1228729.05;253257.96;79632.63;1331361;T1_0301;88593.8;T1;0301;AMARES;298513.73;0;3451575.89;339714.15
24578.55;42950.83;222624.92;234085.35;95720.14;2007576;T1_0103;68229.87;T1;0103;ANADIA;366935.04;2605.96;4094888.9;1263667.59
28521.29;92341.37;75612.55;586531.2;132702.17;2397967;T1_4301;332966.37;T1;4301;ANGRA DO HEROÍSMO;94923;0;3539777.34;384743.59
17154.11;185087.36;799780.32;439719.43;52839.23;1224531;T1_1003;184638.73;T1;1003;ANSIÃO;315610.71;0;3523377.11;743735.65
33223.55;110010.01;706562.44;424233.7;94528.08;2559270;T1_1601;186472.06;T1;1601;ARCOS DE VALDEVEZ;687928.35;0;4793277.26;415282.77
29464.46;61717.73;1158624.87;200439.58;44997.03;1502742;T1_0601;64260.36;T1;0601;ARGANIL;493370.23;0;3504795.37;149618.69
