TOTAL_RH;TOTAL_SEM_VINCULO_PERMANENTE;DSC_AUTARQUIA;TOTAL_TECNICOS_SUPERIORES;REPRESENTANTES_ELEITOS;TOTAL_FUNCIONARIOS_NAO_SUPERIORES;TOTAL_COM_VINCULO_PERMANENTE;CODIGO_PERIODO;CARGOS_MANDATOS_POLITICOS;TOTAL_DIRIGENTES;TOTAL_POR_TIPOLOGIA;ldk;CODIGOINE;TOTAL_POR_VINCULO;TOTAL_COMISSAO_DE_SERVICO
365;0;ABRANTES;80;5;271;347;A;5;9;365;A_1401;1401;365;13
384;9;ÁGUEDA;58;5;309;352;A;5;12;384;A_0101;0101;384;18
101;4;AGUIAR DA BEIRA;14;3;82;89;A;3;2;101;A_0901;0901;101;5
185;4;ALANDROAL;30;3;152;178;A;3;0;185;A_0701;0701;185;0
234;20;ALBERGARIA-A-VELHA;38;4;187;205;A;4;5;234;A_0102;0102;234;5
1136;0;ALBUFEIRA;144;5;967;1111;A;5;20;1136;A_0801;0801;1136;20
399;4;ALCÁCER DO SAL;36;4;354;391;A;4;5;399;A_1501;1501;399;0
157;8;ALCANENA;22;4;127;145;A;4;4;157;A_1402;1402;157;0
321;0;ALCOBAÇA;56;3;248;304;A;3;14;321;A_1001;1001;321;14
351;5;ALCOCHETE;69;5;273;335;A;5;4;351;A_1502;1502;351;6
163;0;ALCOUTIM;18;3;140;154;A;3;2;163;A_0802;0802;163;6
558;1;ALENQUER;65;4;481;542;A;4;8;558;A_1101;1101;558;11
136;11;ALFÂNDEGA DA FÉ;23;3;107;115;A;3;3;136;A_0401;0401;136;7
142;0;ALIJÓ;25;3;113;135;A;3;1;142;A_1701;1701;142;4
173;0;ALJEZUR;21;4;145;162;A;4;3;173;A_0803;0803;173;7
172;16;ALJUSTREL;29;3;136;146;A;3;4;172;A_0201;0201;172;7
1478;60;ALMADA;213;6;1199;1340;A;6;60;1478;A_1503;1503;1478;72
160;0;ALMEIDA;32;3;124;156;A;3;1;160;A_0902;0902;160;1
243;0;ALMEIRIM;24;4;215;235;A;4;0;243;A_1403;1403;243;4
214;7;ALMODÔVAR;35;3;173;201;A;3;3;214;A_0202;0202;214;3
156;1;ALPIARÇA;14;3;138;148;A;3;1;156;A_1404;1404;156;4
144;5;ALTER DO CHÃO;20;2;120;134;A;2;2;144;A_1201;1201;144;3
91;0;ALVAIÁZERE;14;3;74;85;A;3;0;91;A_1002;1002;91;3
91;3;ALVITO;8;2;81;86;A;2;0;91;A_0203;0203;91;0
1566;127;AMADORA;201;7;1325;1384;A;7;33;1566;A_1115;1115;1566;48
519;1;AMARANTE;50;4;456;505;A;4;9;519;A_1301;1301;519;9
243;34;AMARES;58;3;177;197;A;3;5;243;A_0301;0301;243;9
229;3;ANADIA;28;4;190;213;A;4;7;229;A_0103;0103;229;9
241;1;ANGRA DO HEROÍSMO;29;4;202;227;A;4;6;241;A_4301;4301;241;9
106;3;ANSIÃO;14;3;86;97;A;3;3;106;A_1003;1003;106;3
309;0;ARCOS DE VALDEVEZ;28;3;273;301;A;3;5;309;A_1601;1601;309;5
192;3;ARGANIL;27;5;160;183;A;5;0;192;A_0601;0601;192;1
164;7;ARMAMAR;23;3;136;150;A;3;2;164;A_1801;1801;164;4
188;0;AROUCA;32;4;148;179;A;4;4;188;A_0104;0104;188;5
143;0;ARRAIOLOS;12;3;125;136;A;3;3;143;A_0702;0702;143;4
90;2;ARRONCHES;5;3;81;83;A;3;1;90;A_1202;1202;90;2
210;3;ARRUDA DOS VINHOS;22;3;181;200;A;3;4;210;A_1102;1102;210;4
560;3;AVEIRO;136;5;406;547;A;5;13;560;A_0105;0105;560;5
178;4;AVIS;36;3;136;168;A;3;3;178;A_1203;1203;178;3
312;3;AZAMBUJA;42;4;262;296;A;4;4;312;A_1103;1103;312;9
299;0;BAIÃO;39;5;254;289;A;5;1;299;A_1302;1302;299;5
603;5;BARCELOS;143;6;433;558;A;6;21;603;A_0302;0302;603;34
92;0;BARRANCOS;8;3;77;84;A;3;4;92;A_0204;0204;92;5
668;0;BARREIRO;114;5;520;663;A;5;29;668;A_1504;1504;668;0
85;7;BATALHA;19;4;59;70;A;4;3;85;A_1004;1004;85;4
474;3;BEJA;53;4;415;463;A;4;2;474;A_0205;0205;474;4
54;5;BELMONTE;9;3;41;43;A;3;1;54;A_0501;0501;54;3
304;0;BENAVENTE;46;5;249;291;A;5;4;304;A_1405;1405;304;8
168;11;BOMBARRAL;25;4;135;147;A;4;4;168;A_1005;1005;168;6
175;24;BORBA;15;3;156;148;A;3;1;175;A_0703;0703;175;0
125;9;BOTICAS;24;3;95;107;A;3;3;125;A_1702;1702;125;6
1422;8;BRAGA;101;5;1293;1374;A;5;23;1422;A_0303;0303;1422;35
355;5;BRAGANÇA;42;4;299;335;A;4;10;355;A_0402;0402;355;11
290;3;CABECEIRAS DE BASTO;22;2;261;280;A;2;5;290;A_0304;0304;290;5
192;0;CADAVAL;26;4;157;180;A;4;5;192;A_1104;1104;192;8
304;24;CALDAS DA RAINHA;27;3;266;269;A;3;8;304;A_1006;1006;304;8
151;0;CALHETA (MADEIRA);12;3;135;147;A;3;1;151;A_3101;3101;151;1
105;0;CALHETA (SÃO JORGE);2;2;93;94;A;2;8;105;A_4501;4501;105;9
229;0;CÂMARA DE LOBOS;14;4;205;221;A;4;6;229;A_3102;3102;229;4
288;0;CAMINHA;57;4;222;278;A;4;5;288;A_1602;1602;288;6
177;19;CAMPO MAIOR;22;3;149;151;A;3;3;177;A_1204;1204;177;4
228;12;CANTANHEDE;51;3;168;203;A;3;6;228;A_0602;0602;228;10
129;0;CARRAZEDA DE ANSIÃES;15;3;111;124;A;3;0;129;A_0403;0403;129;2
104;0;CARREGAL DO SAL;16;3;82;97;A;3;3;104;A_1802;1802;104;4
358;0;CARTAXO;43;3;312;350;A;3;0;358;A_1406;1406;358;5
1426;131;CASCAIS;436;6;932;1222;A;6;52;1426;A_1105;1105;1426;67
75;0;CASTANHEIRA DE PÊRA;10;2;62;72;A;2;1;75;A_1007;1007;75;1
387;0;CASTELO BRANCO;36;5;340;373;A;5;6;387;A_0502;0502;387;9
151;1;CASTELO DE PAIVA;21;3;124;141;A;3;3;151;A_0106;0106;151;6
139;0;CASTELO DE VIDE;14;3;121;134;A;3;1;139;A_1205;1205;139;2
245;67;CASTRO DAIRE;26;4;211;166;A;4;4;245;A_1803;1803;245;8
136;0;CASTRO MARIM;25;3;104;126;A;3;4;136;A_0804;0804;136;7
200;2;CASTRO VERDE;32;3;163;190;A;3;2;200;A_0206;0206;200;5
184;0;CELORICO DA BEIRA;29;3;152;181;A;3;0;184;A_0903;0903;184;0
274;23;CELORICO DE BASTO;51;3;215;239;A;3;5;274;A_0305;0305;274;9
168;1;CHAMUSCA;25;3;140;163;A;3;0;168;A_1407;1407;168;1
466;1;CHAVES;71;4;380;446;A;4;11;466;A_1703;1703;466;15
256;17;CINFÃES;37;4;213;231;A;4;2;256;A_1804;1804;256;4
1249;12;COIMBRA;270;6;936;1183;A;6;37;1249;A_0603;0603;1249;48
169;8;CONDEIXA-A-NOVA;21;4;141;154;A;4;3;169;A_0604;0604;169;3
100;2;CONSTÂNCIA;19;2;77;95;A;2;2;100;A_1408;1408;100;1
342;0;CORUCHE;29;4;303;328;A;4;6;342;A_1409;1409;342;10
28;4;CORVO;1;2;25;22;A;2;0;28;A_4901;4901;28;0
295;9;COVILHÃ;30;3;252;273;A;3;10;295;A_0503;0503;295;10
107;2;CRATO;8;2;96;99;A;2;1;107;A_1206;1206;107;4
118;6;CUBA;13;3;100;109;A;3;2;118;A_0207;0207;118;0
245;0;ELVAS;30;4;207;234;A;4;4;245;A_1207;1207;245;7
323;1;ENTRONCAMENTO;35;4;279;312;A;4;5;323;A_1410;1410;323;6
552;7;ESPINHO;59;4;478;530;A;4;11;552;A_0107;0107;552;11
159;4;ESPOSENDE;42;5;106;140;A;5;6;159;A_0306;0306;159;10
206;4;ESTARREJA;37;4;160;191;A;4;5;206;A_0108;0108;206;7
180;0;ESTREMOZ;24;4;149;168;A;4;3;180;A_0704;0704;180;8
1053;56;ÉVORA;182;4;854;976;A;4;13;1053;A_0705;0705;1053;17
444;0;FAFE;44;6;386;424;A;6;8;444;A_0307;0307;444;14
746;0;FARO;134;4;592;718;A;4;16;746;A_0805;0805;746;24
677;68;FELGUEIRAS;116;6;545;593;A;6;10;677;A_1303;1303;677;10
216;4;FERREIRA DO ALENTEJO;28;3;181;202;A;3;4;216;A_0208;0208;216;7
123;0;FERREIRA DO ZÊZERE;19;3;98;116;A;3;3;123;A_1411;1411;123;4
490;26;FIGUEIRA DA FOZ;81;4;396;447;A;4;9;490;A_0605;0605;490;13
152;26;FIGUEIRA DE CASTELO RODRIGO;18;3;129;118;A;3;2;152;A_0904;0904;152;5
151;9;FIGUEIRÓ DOS VINHOS;35;3;111;136;A;3;2;151;A_1008;1008;151;3
98;0;FORNOS DE ALGODRES;8;3;85;95;A;3;2;98;A_0905;0905;98;0
163;5;FREIXO DE ESPADA À CINTA;13;3;145;153;A;3;2;163;A_0404;0404;163;2
90;13;FRONTEIRA;12;3;73;70;A;3;2;90;A_1208;1208;90;4
1633;19;FUNCHAL;117;5;1469;1557;A;5;42;1633;A_3103;3103;1633;52
289;15;FUNDÃO;78;3;202;261;A;3;6;289;A_0504;0504;289;10
118;3;GAVIÃO;8;2;106;108;A;2;2;118;A_1209;1209;118;5
151;5;GÓIS;31;2;117;140;A;2;1;151;A_0606;0606;151;4
112;0;GOLEGÃ;8;2;100;108;A;2;2;112;A_1412;1412;112;2
1548;170;GONDOMAR;430;6;1096;1353;A;6;16;1548;A_1304;1304;1548;19
187;31;GOUVEIA;25;3;157;149;A;3;2;187;A_0906;0906;187;4
415;0;GRÂNDOLA;82;4;323;401;A;4;6;415;A_1505;1505;415;10
518;5;GUARDA;108;5;400;503;A;5;5;518;A_0907;0907;518;5
1536;137;GUIMARÃES;251;6;1251;1353;A;6;28;1536;A_0308;0308;1536;40
172;3;HORTA;14;4;152;163;A;4;2;172;A_4701;4701;172;2
241;10;IDANHA-A-NOVA;49;4;183;222;A;4;5;241;A_0505;0505;241;5
292;84;ÍLHAVO;118;4;162;203;A;4;8;292;A_0110;0110;292;1
407;13;LAGOA (ALGARVE);26;4;365;374;A;4;12;407;A_0806;0806;407;16
140;0;LAGOA (SÃO MIGUEL);12;4;122;133;A;4;2;140;A_4201;4201;140;3
664;0;LAGOS;74;4;571;643;A;4;15;664;A_0807;0807;664;17
51;0;LAJES DAS FLORES;5;3;43;45;A;3;0;51;A_4801;4801;51;3
86;2;LAJES DO PICO;11;3;71;80;A;3;1;86;A_4601;4601;86;1
232;8;LAMEGO;58;4;165;211;A;4;5;232;A_1805;1805;232;9
670;19;LEIRIA;110;8;534;612;A;8;18;670;A_1009;1009;670;31
7484;219;LISBOA;2195;11;5119;7229;A;11;159;7484;A_1106;1106;7484;25
1513;4;LOULÉ;195;5;1288;1471;A;5;25;1513;A_0808;0808;1513;33
2114;45;LOURES;444;6;1625;2011;A;6;39;2114;A_1107;1107;2114;52
342;23;LOURINHÃ;41;4;287;301;A;4;10;342;A_1108;1108;342;14
210;4;LOUSÃ;29;4;174;201;A;4;3;210;A_0607;0607;210;1
621;0;LOUSADA;50;4;560;606;A;4;7;621;A_1305;1305;621;11
182;0;MAÇÃO;25;3;153;176;A;3;1;182;A_1413;1413;182;3
270;27;MACEDO DE CAVALEIROS;63;4;198;230;A;4;5;270;A_0405;0405;270;9
170;0;MACHICO;18;4;146;164;A;4;2;170;A_3104;3104;170;2
104;0;MADALENA;17;3;82;97;A;3;2;104;A_4602;4602;104;4
903;2;MAFRA;93;5;792;878;A;5;13;903;A_1109;1109;903;18
1034;168;MAIA;292;7;713;824;A;7;22;1034;A_1306;1306;1034;35
251;0;MANGUALDE;31;4;213;244;A;4;3;251;A_1806;1806;251;3
67;1;MANTEIGAS;8;3;54;61;A;3;2;67;A_0908;0908;67;2
386;28;MARCO DE CANAVESES;54;4;319;345;A;4;9;386;A_1307;1307;386;9
273;0;MARINHA GRANDE;48;4;213;258;A;4;8;273;A_1010;1010;273;11
93;0;MARVÃO;8;3;81;90;A;3;1;93;A_1210;1210;93;0
1682;158;MATOSINHOS;415;7;1218;1461;A;7;42;1682;A_1308;1308;1682;56
293;32;MEALHADA;67;4;214;249;A;4;8;293;A_0111;0111;293;8
172;0;MEDA;32;3;137;167;A;3;0;172;A_0909;0909;172;2
281;24;MELGAÇO;53;3;221;250;A;3;4;281;A_1603;1603;281;4
265;1;MÉRTOLA;35;3;223;256;A;3;4;265;A_0209;0209;265;5
105;0;MESÃO FRIO;6;2;95;100;A;2;2;105;A_1704;1704;105;3
211;8;MIRA;29;3;175;193;A;3;4;211;A_0608;0608;211;7
169;18;MIRANDA DO CORVO;41;4;122;142;A;4;2;169;A_0609;0609;169;5
157;8;MIRANDA DO DOURO;24;3;128;141;A;3;2;157;A_0406;0406;157;5
312;3;MIRANDELA;47;4;254;295;A;4;7;312;A_0407;0407;312;10
143;1;MOGADOURO;12;4;125;133;A;4;2;143;A_0408;0408;143;5
137;9;MOIMENTA DA BEIRA;35;5;93;118;A;5;4;137;A_1807;1807;137;5
741;10;MOITA;89;5;632;708;A;5;15;741;A_1506;1506;741;18
261;14;MONÇÃO;37;3;214;244;A;3;7;261;A_1604;1604;261;0
208;0;MONCHIQUE;36;3;169;204;A;3;0;208;A_0809;0809;208;1
145;5;MONDIM DE BASTO;24;3;113;130;A;3;5;145;A_1705;1705;145;7
136;0;MONFORTE;20;3;111;127;A;3;2;136;A_1211;1211;136;6
271;13;MONTALEGRE;27;3;237;255;A;3;4;271;A_1706;1706;271;0
342;5;MONTEMOR-O-NOVO;52;4;281;333;A;4;5;342;A_0706;0706;342;0
209;5;MONTEMOR-O-VELHO;51;4;151;196;A;4;3;209;A_0610;0610;209;4
793;66;MONTIJO;120;3;662;712;A;3;8;793;A_1507;1507;793;12
140;17;MORA;16;3;119;119;A;3;2;140;A_0707;0707;140;1
147;9;MORTÁGUA;17;4;123;130;A;4;3;147;A_1808;1808;147;4
352;1;MOURA;45;4;298;337;A;4;5;352;A_0210;0210;352;10
172;0;MOURÃO;10;3;159;169;A;3;0;172;A_0708;0708;172;0
123;0;MURÇA;14;3;104;118;A;3;2;123;A_1707;1707;123;2
77;0;MURTOSA;13;3;60;70;A;3;1;77;A_0112;0112;77;4
105;5;NAZARÉ;14;4;84;96;A;4;3;105;A_1011;1011;105;0
192;13;NELAS;33;3;156;176;A;3;0;192;A_1809;1809;192;0
224;9;NISA;27;2;194;210;A;2;1;224;A_1212;1212;224;3
80;0;NORDESTE;4;3;72;75;A;3;1;80;A_4202;4202;80;2
296;8;ÓBIDOS;43;4;245;276;A;4;4;296;A_1012;1012;296;8
442;5;ODEMIRA;55;5;375;421;A;5;7;442;A_0211;0211;442;11
1179;62;ODIVELAS;283;8;862;1069;A;8;26;1179;A_1116;1116;1179;40
1757;1;OEIRAS;339;7;1372;1696;A;7;39;1757;A_1110;1110;1757;53
115;1;OLEIROS;14;3;98;108;A;3;0;115;A_0506;0506;115;3
519;12;OLHÃO;58;3;448;492;A;3;10;519;A_0810;0810;519;12
496;26;OLIVEIRA DE AZEMÉIS;122;5;359;465;A;5;10;496;A_0113;0113;496;0
162;0;OLIVEIRA DE FRADES;21;4;136;158;A;4;1;162;A_1810;1810;162;0
235;20;OLIVEIRA DO BAIRRO;54;4;171;201;A;4;6;235;A_0114;0114;235;10
214;4;OLIVEIRA DO HOSPITAL;14;4;193;203;A;4;3;214;A_0611;0611;214;3
374;0;OURÉM;49;3;311;369;A;3;11;374;A_1421;1421;374;2
207;25;OURIQUE;26;4;175;173;A;4;2;207;A_0212;0212;207;5
331;5;OVAR;60;4;257;312;A;4;10;331;A_0115;0115;331;10
377;0;PAÇOS DE FERREIRA;50;4;316;371;A;4;7;377;A_1309;1309;377;2
903;0;PALMELA;167;5;718;880;A;5;13;903;A_1508;1508;903;18
136;0;PAMPILHOSA DA SERRA;25;4;105;130;A;4;2;136;A_0612;0612;136;2
900;74;PAREDES;161;5;725;812;A;5;9;900;A_1310;1310;900;9
166;0;PAREDES DE COURA;21;3;139;160;A;3;3;166;A_1605;1605;166;3
84;0;PEDRÓGÃO GRANDE;8;3;72;79;A;3;1;84;A_1013;1013;84;2
130;0;PENACOVA;17;4;106;120;A;4;3;130;A_0613;0613;130;6
673;94;PENAFIEL;159;5;497;556;A;5;12;673;A_1311;1311;673;18
109;10;PENALVA DO CASTELO;25;3;79;93;A;3;2;109;A_1811;1811;109;3
98;0;PENAMACOR;15;3;80;95;A;3;0;98;A_0507;0507;98;0
84;3;PENEDONO;8;2;72;77;A;2;2;84;A_1812;1812;84;2
107;0;PENELA;23;3;79;101;A;3;2;107;A_0614;0614;107;3
384;47;PENICHE;93;3;283;325;A;3;5;384;A_1014;1014;384;9
284;45;PESO DA RÉGUA;37;3;240;230;A;3;4;284;A_1708;1708;284;6
141;0;PINHEL;34;4;101;135;A;4;2;141;A_0910;0910;141;2
391;15;POMBAL;45;6;328;364;A;6;12;391;A_1015;1015;391;6
587;12;PONTA DELGADA;39;5;525;546;A;5;18;587;A_4203;4203;587;24
84;0;PONTA DO SOL;7;4;71;78;A;4;2;84;A_3105;3105;84;2
256;1;PONTE DA BARCA;30;3;219;246;A;3;4;256;A_1606;1606;256;6
519;9;PONTE DE LIMA;36;4;473;502;A;4;6;519;A_1607;1607;519;4
264;0;PONTE DE SOR;21;5;233;250;A;5;5;264;A_1213;1213;264;9
318;1;PORTALEGRE;46;4;263;303;A;4;5;318;A_1214;1214;318;10
220;21;PORTEL;22;4;191;191;A;4;3;220;A_0709;0709;220;4
844;3;PORTIMÃO;118;4;701;812;A;4;21;844;A_0811;0811;844;25
2603;120;PORTO;392;8;2131;2394;A;8;72;2603;A_1312;1312;2603;81
303;26;PORTO DE MÓS;30;5;265;267;A;5;3;303;A_1016;1016;303;5
72;6;PORTO MONIZ;3;3;64;61;A;3;2;72;A_3106;3106;72;2
119;2;PORTO SANTO;6;3;109;114;A;3;1;119;A_3201;3201;119;0
183;1;PÓVOA DE LANHOSO;36;3;140;179;A;3;4;183;A_0309;0309;183;0
664;40;PÓVOA DE VARZIM;128;5;525;613;A;5;6;664;A_1313;1313;664;6
102;0;POVOAÇÃO;6;4;91;97;A;4;1;102;A_4204;4204;102;1
173;0;PRAIA DA VITÓRIA;17;4;148;169;A;4;4;173;A_4302;4302;173;0
145;0;PROENÇA-A-NOVA;30;3;110;137;A;3;2;145;A_0508;0508;145;5
214;3;REDONDO;34;3;174;203;A;3;3;214;A_0710;0710;214;5
239;1;REGUENGOS DE MONSARAZ;34;3;199;229;A;3;3;239;A_0711;0711;239;6
256;0;RESENDE;33;4;215;245;A;4;4;256;A_1813;1813;256;7
91;0;RIBEIRA BRAVA;6;4;81;87;A;4;0;91;A_3107;3107;91;0
182;0;RIBEIRA DE PENA;25;3;152;173;A;3;2;182;A_1709;1709;182;6
249;0;RIBEIRA GRANDE;19;4;221;245;A;4;5;249;A_4205;4205;249;0
305;4;RIO MAIOR;33;4;262;297;A;4;6;305;A_1414;1414;305;0
